,Unnamed: 0,cik_str,ticker,title
7134,9564,1869601,EMCGU,Embrace Change Acquisition Corp.
7135,9565,1869601,EMCGW,Embrace Change Acquisition Corp.
7136,9566,801337,WBS-PG,WEBSTER FINANCIAL CORP
7137,9567,1903145,GRRRW,Gorilla Technology Group Inc.
7138,9568,1872812,TCBPW,TC BioPharm (Holdings) plc
7139,9569,1832511,PIIIW,P3 Health Partners Inc.
7140,9570,1737995,STSSW,Sharps Technology Inc.
7141,9571,1496254,LTAFX,Alternative Strategies Income Fund
7142,9572,1496254,LTCFX,Alternative Strategies Income Fund
7143,9573,1890361,ASPCU,ASPAC III Acquisition Corp.
7144,9574,1890361,ASPCR,ASPAC III Acquisition Corp.
7145,9575,714310,VLYPN,VALLEY NATIONAL BANCORP
7146,9576,907254,BFS-PE,"SAUL CENTERS, INC."
7147,9577,1852551,NVAWW,Nova Minerals Ltd
7148,9578,1852551,NVAAF,Nova Minerals Ltd
7149,9579,1076262,FCUL,Golden Star Enterprises Ltd.
7150,9580,1742927,RVPHW,"REVIVA PHARMACEUTICALS HOLDINGS, INC."
7151,9581,1939937,LMMY,LAMY
7152,9582,1811063,NUVB-WT,Nuvation Bio Inc.
7153,9583,1884082,PLSAY,Polestar Automotive Holding UK PLC
7154,9584,2033593,SVCCU,Stellar V Capital Corp. (Cayman Islands)
7155,9585,1824403,RSVRW,"Reservoir Media, Inc."
7156,9586,1631596,KREF-PA,KKR Real Estate Finance Trust Inc.
7157,9587,1752828,CELUW,Celularity Inc
7158,9588,1851909,CDAWF,Compass Digital Acquisition Corp.
7159,9589,1851909,CDAUF,Compass Digital Acquisition Corp.
7160,9590,1666175,FRTSF,Fortis Inc.
7161,9591,1666175,FTPSF,Fortis Inc.
7162,9592,1854149,ANSCU,Agriculture & Natural Solutions Acquisition Corp
7163,9593,1854149,ANSCW,Agriculture & Natural Solutions Acquisition Corp
7164,9594,1880661,TPGXL,TPG Inc.
7165,9595,1848739,GDEVW,GDEV Inc.
7166,9596,1937987,FBYDW,"Falcon's Beyond Global, Inc."
7167,9597,948320,LFMDP,"LifeMD, Inc."
7168,9598,1841675,ARBKL,Argo Blockchain Plc
7169,9599,1966734,AITRR,AI Transportation Acquisition Corp
7170,9600,1966734,AITRU,AI Transportation Acquisition Corp
7171,9601,1690012,ICRP,"InPoint Commercial Real Estate Income, Inc."
7172,9602,1802450,MSPRW,"MSP Recovery, Inc."
7173,9603,1802450,MSPRZ,"MSP Recovery, Inc."
7174,9604,1710680,HFRO-PA,HIGHLAND OPPORTUNITIES & INCOME FUND
7175,9605,1710680,HFRO-PB,HIGHLAND OPPORTUNITIES & INCOME FUND
7176,9606,2000775,BKHAU,Black Hawk Acquisition Corp
7177,9607,2000775,BKHAR,Black Hawk Acquisition Corp
7178,9608,1501072,RIV-PA,"RIVERNORTH OPPORTUNITIES FUND, INC."
7179,9609,1332551,ACR-PC,ACRES Commercial Realty Corp.
7180,9610,1332551,ACR-PD,ACRES Commercial Realty Corp.
7181,9611,826675,DX-PC,DYNEX CAPITAL INC
7182,9612,1022899,PTIXW,"Protagenic Therapeutics, Inc.\new"
7183,9613,1854816,MINR,Minerva Gold Inc.
7184,9614,1854526,BRQL,"brooqLy, Inc."
7185,9615,1456772,OPINL,OFFICE PROPERTIES INCOME TRUST
7186,9616,1041792,ELPC,ENERGY CO OF PARANA
7187,9617,1501729,FSEN,FS Specialty Lending Fund
7188,9618,1895262,NE-WTA,Noble Corp plc
7189,9619,1895262,NE-WT,Noble Corp plc
7190,9620,1895262,NBLWF,Noble Corp plc
7191,9621,1527541,WHLRL,"Wheeler Real Estate Investment Trust, Inc."
7192,9622,1811115,RENXF,Renalytix plc
7193,9623,1937441,AMBI-WT,Ambipar Emergency Response
7194,9624,1698514,NESRW,National Energy Services Reunited Corp.
7195,9625,1495240,LANDO,GLADSTONE LAND Corp
7196,9626,1158967,NNDNF,NIDEC CORP
7197,9627,1931055,MDNC,Medinotec Inc.
7198,9628,2032966,TICAW,ACUREN CORP
7199,9629,895728,EBBGF,ENBRIDGE INC
7200,9630,895728,ENBMF,ENBRIDGE INC
7201,9631,895728,ENBOF,ENBRIDGE INC
7202,9632,895728,ENBSF,ENBRIDGE INC
7203,9633,895728,ENBNF,ENBRIDGE INC
7204,9634,895728,ENBHF,ENBRIDGE INC
7205,9635,895728,ENBGF,ENBRIDGE INC
7206,9636,895728,ENBRF,ENBRIDGE INC
7207,9637,895728,ENNPF,ENBRIDGE INC
7208,9638,107815,WELPM,WISCONSIN ELECTRIC POWER CO
7209,9639,895728,EBGEF,ENBRIDGE INC
7210,9640,895728,EBRGF,ENBRIDGE INC
